CustomerID,Recency,Frequency,Monetary,Is_Churned
100001,33,7,20.0,0
100002,221,7,13.0,0
100003,240,4,7.0,0
100004,108,8,17.0,0
100005,142,7,16.0,0
100006,269,3,6.0,0
100007,356,3,3.0,1
100008,183,5,10.0,0
100009,626,3,8.0,1
100010,20,5,10.0,0
100011,326,3,7.0,1
100012,213,8,15.0,0
100013,599,1,2.0,1
100014,481,4,4.0,1
100015,573,2,5.0,1
100016,74,7,13.0,0
100017,19,10,17.0,0
100018,618,2,5.0,1
100019,23,5,13.0,0
100020,432,6,11.0,1
100021,172,6,13.0,0
100022,52,7,10.0,0
100023,889,1,4.0,1
100024,35,9,21.0,0
100025,135,6,14.0,0
100026,276,4,7.0,0
100027,129,2,2.0,0
100028,125,6,8.0,0
100029,61,7,10.0,0
100030,191,5,9.0,0
100031,809,1,1.0,1
100032,321,4,8.0,1
100033,200,7,19.0,0
100034,344,1,3.0,1
100035,299,4,10.0,1
100036,49,5,6.0,0
100037,24,3,7.0,0
100038,300,3,4.0,1
100039,89,5,11.0,0
100040,11,9,18.0,0
100041,17,7,12.0,0
100042,481,2,3.0,1
100043,300,7,11.0,1
100044,58,5,10.0,0
100045,444,6,10.0,1
100046,152,6,9.0,0
100047,547,3,5.0,1
100048,556,3,5.0,1
100049,29,7,17.0,0
100050,22,8,23.0,0
100051,82,7,13.0,0
100052,151,8,14.0,0
100053,115,11,23.0,0
100054,262,5,10.0,0
100055,81,2,2.0,0
100056,318,3,5.0,1
100057,26,5,8.0,0
100058,165,5,7.0,0
100059,2,3,8.0,0
100060,579,2,4.0,1
100061,165,9,18.0,0
100062,583,7,12.0,1
100063,205,5,10.0,0
100064,159,4,6.0,0
100065,361,5,9.0,1
100066,212,7,11.0,0
100067,191,7,12.0,0
100068,48,10,24.0,0
100069,48,10,23.0,0
100070,670,1,5.0,1
100071,186,6,15.0,0
100072,256,3,6.0,0
100073,31,3,4.0,0
100074,554,3,11.0,1
100075,7,10,16.0,0
100076,261,11,16.0,0
100077,57,5,7.0,0
100078,268,3,8.0,0
100079,385,3,3.0,1
100080,315,6,7.0,1
100081,67,5,9.0,0
100082,17,2,4.0,0
100083,12,8,16.0,0
100084,155,6,12.0,0
100085,297,6,11.0,1
100086,8,10,16.0,0
100087,376,2,7.0,1
100088,163,8,17.0,0
100089,112,4,5.0,0
100090,152,8,15.0,0
100091,187,5,6.0,0
100092,204,5,9.0,0
100093,269,4,11.0,0
100094,238,8,21.0,0
100095,51,10,20.0,0
100096,881,1,2.0,1
100097,519,3,5.0,1
100098,221,3,5.0,0
100099,487,2,4.0,1
100100,9,4,9.0,0
100101,663,2,3.0,1
100102,165,3,9.0,0
100103,85,7,14.0,0
100104,390,3,5.0,1
100106,12,6,7.0,0
100107,22,8,17.0,0
100108,168,7,16.0,0
100109,860,1,1.0,1
100110,20,7,13.0,0
100111,77,6,13.0,0
100112,181,4,6.0,0
100113,125,7,10.0,0
100114,33,3,9.0,0
100115,194,7,16.0,0
100116,495,4,7.0,1
100117,654,2,5.0,1
100118,473,2,3.0,1
100119,97,11,17.0,0
100120,164,3,6.0,0
100121,541,3,9.0,1
100122,271,1,3.0,0
100123,72,1,1.0,0
100124,204,3,5.0,0
100125,9,5,12.0,0
100126,269,3,5.0,0
100127,49,5,11.0,0
100128,54,6,11.0,0
100129,397,3,5.0,1
100130,452,3,5.0,1
100131,222,3,9.0,0
100132,29,9,12.0,0
100133,37,7,12.0,0
100134,11,8,17.0,0
100135,374,3,10.0,1
100136,79,7,10.0,0
100137,276,4,8.0,0
100138,353,4,10.0,1
100139,298,4,5.0,1
100140,137,10,13.0,0
100141,143,5,7.0,0
100142,45,7,11.0,0
100143,93,8,13.0,0
100144,77,7,16.0,0
100145,310,4,6.0,1
100146,209,1,3.0,0
100147,199,6,13.0,0
100148,447,4,7.0,1
100149,76,3,5.0,0
100150,237,1,5.0,0
100151,153,4,9.0,0
100152,279,5,10.0,0
100153,37,11,23.0,0
100154,465,4,7.0,1
100155,4,6,14.0,0
100156,201,3,3.0,0
100157,75,6,19.0,0
100158,17,7,11.0,0
100159,3,5,19.0,0
100160,174,5,10.0,0
100161,153,4,5.0,0
100162,275,6,8.0,0
100163,53,3,5.0,0
100164,144,5,8.0,0
100165,431,7,12.0,1
100166,63,9,16.0,0
100167,230,5,12.0,0
100168,200,4,11.0,0
100169,102,5,12.0,0
100170,202,6,8.0,0
100171,394,2,3.0,1
100172,217,4,4.0,0
100173,143,3,5.0,0
100174,270,2,5.0,0
100175,101,2,2.0,0
100176,261,7,16.0,0
100177,215,5,8.0,0
100178,170,5,15.0,0
100179,102,2,3.0,0
100180,298,5,17.0,1
100181,160,5,11.0,0
100182,39,3,7.0,0
100183,54,4,7.0,0
100184,59,8,14.0,0
100185,413,4,7.0,1
100186,197,2,3.0,0
100187,95,6,17.0,0
100188,201,2,2.0,0
100189,26,4,6.0,0
100190,870,2,4.0,1
100191,169,6,10.0,0
100192,409,3,4.0,1
100193,98,4,9.0,0
100194,324,6,9.0,1
100195,492,2,3.0,1
100196,83,7,18.0,0
100197,42,5,10.0,0
100198,361,3,6.0,1
100199,99,5,11.0,0
100200,413,5,11.0,1
100201,104,6,13.0,0
100202,82,4,8.0,0
100203,56,6,10.0,0
100204,421,6,7.0,1
100205,55,5,10.0,0
100206,151,4,8.0,0
100207,138,5,15.0,0
